NOC,Gold,Silver,Bronze,Total,Year,Country,Rank
NOR,10,11,5,26,1994,Lillehammer,1
GER,9,7,8,24,1994,Lillehammer,2
RUS,11,8,4,23,1994,Lillehammer,3
ITA,7,5,8,20,1994,Lillehammer,4
USA,6,5,2,13,1994,Lillehammer,5
CAN,3,6,4,13,1994,Lillehammer,6
SUI,3,4,2,9,1994,Lillehammer,7
AUT,2,3,4,9,1994,Lillehammer,8
KOR,4,1,1,6,1994,Lillehammer,9
FIN,0,1,5,6,1994,Lillehammer,10
JPN,1,2,2,5,1994,Lillehammer,11
FRA,0,1,4,5,1994,Lillehammer,12
NED,0,1,3,4,1994,Lillehammer,13
SWE,2,1,0,3,1994,Lillehammer,14
KAZ,1,2,0,3,1994,Lillehammer,15
CHN,0,1,2,3,1994,Lillehammer,16
SLO,0,0,3,3,1994,Lillehammer,17
UKR,1,0,1,2,1994,Lillehammer,18
BLR,0,2,0,2,1994,Lillehammer,19
GBR,0,0,2,2,1994,Lillehammer,20
UZB,1,0,0,1,1994,Lillehammer,21
AUS,0,0,1,1,1994,Lillehammer,22
USA,44,32,25,101,1996,Atlanta,1
GER,20,18,27,65,1996,Atlanta,2
RUS,26,21,16,63,1996,Atlanta,3
CHN,16,22,12,50,1996,Atlanta,4
AUS,9,9,23,41,1996,Atlanta,5
FRA,15,7,15,37,1996,Atlanta,6
ITA,13,10,12,35,1996,Atlanta,7
KOR,7,15,5,27,1996,Atlanta,8
CUB,9,8,8,25,1996,Atlanta,9
UKR,9,2,12,23,1996,Atlanta,10
CAN,3,11,8,22,1996,Atlanta,11
HUN,7,4,10,21,1996,Atlanta,12
ROU,4,7,9,20,1996,Atlanta,13
NED,4,5,10,19,1996,Atlanta,14
POL,7,5,5,17,1996,Atlanta,15
ESP,5,6,6,17,1996,Atlanta,16
BUL,3,7,5,15,1996,Atlanta,17
BRA,3,3,9,15,1996,Atlanta,18
GBR,1,8,6,15,1996,Atlanta,19
BLR,1,6,8,15,1996,Atlanta,20
JPN,3,6,5,14,1996,Atlanta,21
CZE,4,3,4,11,1996,Atlanta,22
KAZ,3,4,4,11,1996,Atlanta,23
GRE,4,4,0,8,1996,Atlanta,24
SWE,2,4,2,8,1996,Atlanta,25
KEN,1,4,3,8,1996,Atlanta,26
SUI,4,3,0,7,1996,Atlanta,27
NOR,2,2,3,7,1996,Atlanta,28
DEN,4,1,1,6,1996,Atlanta,29
TUR,4,1,1,6,1996,Atlanta,30
NZL,3,2,1,6,1996,Atlanta,31
BEL,2,2,2,6,1996,Atlanta,32
NGR,2,1,3,6,1996,Atlanta,33
JAM,1,3,2,6,1996,Atlanta,34
RSA,3,1,1,5,1996,Atlanta,35
PRK,2,1,2,5,1996,Atlanta,36
IRL,3,0,1,4,1996,Atlanta,37
FIN,1,2,1,4,1996,Atlanta,38
YUG,1,1,2,4,1996,Atlanta,39
INA,1,1,2,4,1996,Atlanta,40
ETH,2,0,1,3,1996,Atlanta,41
ALG,2,0,1,3,1996,Atlanta,42
SVK,1,1,1,3,1996,Atlanta,43
IRI,1,1,1,3,1996,Atlanta,44
ARG,0,2,1,3,1996,Atlanta,45
AUT,0,1,2,3,1996,Atlanta,46
CRO,1,1,0,2,1996,Atlanta,47
ARM,1,1,0,2,1996,Atlanta,48
POR,1,0,1,2,1996,Atlanta,49
THA,1,0,1,2,1996,Atlanta,50
SLO,0,2,0,2,1996,Atlanta,51
NAM,0,2,0,2,1996,Atlanta,52
UZB,0,1,1,2,1996,Atlanta,53
MAS,0,1,1,2,1996,Atlanta,54
MDA,0,1,1,2,1996,Atlanta,55
GEO,0,0,2,2,1996,Atlanta,56
TTO,0,0,2,2,1996,Atlanta,57
MAR,0,0,2,2,1996,Atlanta,58
HKG,1,0,0,1,1996,Atlanta,59
CRC,1,0,0,1,1996,Atlanta,60
BDI,1,0,0,1,1996,Atlanta,61
SYR,1,0,0,1,1996,Atlanta,62
ECU,1,0,0,1,1996,Atlanta,63
PHI,0,1,0,1,1996,Atlanta,64
BAH,0,1,0,1,1996,Atlanta,65
ZAM,0,1,0,1,1996,Atlanta,66
AZE,0,1,0,1,1996,Atlanta,67
LAT,0,1,0,1,1996,Atlanta,68
TPE,0,1,0,1,1996,Atlanta,69
TGA,0,1,0,1,1996,Atlanta,70
TUN,0,0,1,1,1996,Atlanta,71
UGA,0,0,1,1,1996,Atlanta,72
LTU,0,0,1,1,1996,Atlanta,73
MEX,0,0,1,1,1996,Atlanta,74
MGL,0,0,1,1,1996,Atlanta,75
IND,0,0,1,1,1996,Atlanta,76
MOZ,0,0,1,1,1996,Atlanta,77
PUR,0,0,1,1,1996,Atlanta,78
GER,12,9,8,29,1998,Nagano,1
NOR,10,10,5,25,1998,Nagano,2
RUS,9,6,3,18,1998,Nagano,3
AUT,3,5,9,17,1998,Nagano,4
CAN,6,5,4,15,1998,Nagano,5
USA,6,3,4,13,1998,Nagano,6
FIN,2,4,6,12,1998,Nagano,7
NED,5,4,2,11,1998,Nagano,8
JPN,5,1,4,10,1998,Nagano,9
ITA,2,6,2,10,1998,Nagano,10
FRA,2,1,5,8,1998,Nagano,11
CHN,0,6,2,8,1998,Nagano,12
SUI,2,2,3,7,1998,Nagano,13
KOR,3,1,2,6,1998,Nagano,14
CZE,1,1,1,3,1998,Nagano,15
SWE,0,2,1,3,1998,Nagano,16
KAZ,0,0,2,2,1998,Nagano,17
BLR,0,0,2,2,1998,Nagano,18
BUL,1,0,0,1,1998,Nagano,19
DEN,0,1,0,1,1998,Nagano,20
UKR,0,1,0,1,1998,Nagano,21
GBR,0,0,1,1,1998,Nagano,22
BEL,0,0,1,1,1998,Nagano,23
AUS,0,0,1,1,1998,Nagano,24
USA,37,24,32,93,2000,Sydney,1
RUS,32,28,29,89,2000,Sydney,2
CHN,28,16,14,58,2000,Sydney,3
AUS,16,25,17,58,2000,Sydney,4
GER,13,17,26,56,2000,Sydney,5
FRA,13,14,11,38,2000,Sydney,6
ITA,13,8,13,34,2000,Sydney,7
CUB,11,11,7,29,2000,Sydney,8
GBR,11,10,7,28,2000,Sydney,9
KOR,8,10,10,28,2000,Sydney,10
ROU,11,6,9,26,2000,Sydney,11
NED,12,9,4,25,2000,Sydney,12
UKR,3,10,10,23,2000,Sydney,13
JPN,5,8,5,18,2000,Sydney,14
HUN,8,6,3,17,2000,Sydney,15
BLR,3,3,11,17,2000,Sydney,16
POL,6,5,3,14,2000,Sydney,17
CAN,3,3,8,14,2000,Sydney,18
BUL,5,6,2,13,2000,Sydney,19
GRE,4,6,3,13,2000,Sydney,20
SWE,4,5,3,12,2000,Sydney,21
BRA,0,6,6,12,2000,Sydney,22
ESP,3,3,5,11,2000,Sydney,23
NOR,4,3,3,10,2000,Sydney,24
SUI,1,6,2,9,2000,Sydney,25
JAM,0,6,3,9,2000,Sydney,26
ETH,4,1,3,8,2000,Sydney,27
CZE,2,3,3,8,2000,Sydney,28
KAZ,3,4,0,7,2000,Sydney,29
KEN,2,3,2,7,2000,Sydney,30
DEN,2,3,1,6,2000,Sydney,31
INA,1,3,2,6,2000,Sydney,32
MEX,1,2,3,6,2000,Sydney,33
GEO,0,0,6,6,2000,Sydney,34
TUR,3,0,2,5,2000,Sydney,35
LTU,2,0,3,5,2000,Sydney,36
SVK,1,3,1,5,2000,Sydney,37
ALG,1,1,3,5,2000,Sydney,38
BEL,0,2,3,5,2000,Sydney,39
RSA,0,2,3,5,2000,Sydney,40
MAR,0,1,4,5,2000,Sydney,41
TPE,0,1,4,5,2000,Sydney,42
IRI,3,0,1,4,2000,Sydney,43
FIN,2,1,1,4,2000,Sydney,44
UZB,1,1,2,4,2000,Sydney,45
NZL,1,0,3,4,2000,Sydney,46
ARG,0,2,2,4,2000,Sydney,47
PRK,0,1,3,4,2000,Sydney,48
AUT,2,1,0,3,2000,Sydney,49
BAH,2,0,1,3,2000,Sydney,50
AZE,2,0,1,3,2000,Sydney,51
NGR,1,2,0,3,2000,Sydney,52
YUG,1,1,1,3,2000,Sydney,53
LAT,1,1,1,3,2000,Sydney,54
THA,1,0,2,3,2000,Sydney,55
EST,1,0,2,3,2000,Sydney,56
SLO,2,0,0,2,2000,Sydney,57
CRO,1,0,1,2,2000,Sydney,58
TTO,0,1,1,2,2000,Sydney,59
